,tempK,humidity,wind speed,clouds,lat,lon
tasiilaq,269.15,62.0,3.6,99.0,65.61,-37.64
brae,280.47,81.0,12.3,100.0,60.4,-1.35
skelleftea,273.15,95.0,3.6,100.0,64.75,20.95
kostomuksha,266.66,94.0,2.06,57.0,64.57,30.58
severodvinsk,265.15,92.0,1.0,20.0,64.56,39.83
koslan,267.96,94.0,0.95,99.0,63.46,48.9
inta,265.26,94.0,2.29,99.0,66.03,60.17
yar-sale,262.23,91.0,1.81,44.0,66.83,70.83
urengoy,268.55,95.0,3.69,100.0,65.97,78.37
turukhansk,275.09,96.0,7.03,100.0,65.82,87.98
tura,273.98,77.0,6.66,51.0,64.28,100.25
aykhal,270.15,68.0,4.0,40.0,66.0,111.5
verkhnevilyuysk,274.51,83.0,4.78,99.0,63.45,120.32
namtsy,277.15,60.0,2.0,20.0,62.72,129.67
ust-nera,270.27,86.0,3.15,100.0,64.57,143.2
zyryanka,272.29,97.0,6.82,22.0,65.75,150.85
evensk,264.17,88.0,0.31,100.0,61.95,159.23
barrow,270.15,86.0,8.2,90.0,71.29,-156.79
aklavik,268.15,49.0,3.1,5.0,68.22,-135.01
tuktoyaktuk,260.15,84.0,4.6,20.0,69.45,-133.04
clyde river,255.15,84.0,2.1,75.0,70.47,-68.59
upernavik,266.69,86.0,1.03,100.0,72.79,-56.15
ilulissat,270.15,73.0,6.7,86.0,69.22,-51.1
hofn,272.44,89.0,9.05,5.0,64.25,-15.21
raudeberg,280.31,93.0,10.8,100.0,61.99,5.14
sorland,274.14,84.0,9.18,100.0,67.67,12.69
lyngseidet,272.15,74.0,11.8,40.0,69.58,20.22
vadso,265.15,85.0,2.1,100.0,70.07,29.75
ostrovnoy,263.52,93.0,4.74,0.0,68.05,39.51
tazovskiy,263.21,96.0,3.51,86.0,67.47,78.7
talnakh,274.15,95.0,15.0,75.0,69.49,88.4
khatanga,265.35,97.0,5.25,100.0,71.97,102.5
zhigansk,269.77,92.0,6.98,71.0,66.77,123.37
tiksi,258.97,90.0,8.93,94.0,71.69,128.87
deputatskiy,269.0,91.0,7.2,73.0,69.3,139.9
chokurdakh,271.98,97.0,5.79,100.0,70.63,147.92
cherskiy,268.35,96.0,7.14,80.0,68.75,161.3
pevek,261.7,92.0,6.21,6.0,69.7,170.31
qaanaaq,262.14,72.0,2.32,100.0,77.48,-69.36
narsaq,281.15,36.0,17.5,100.0,60.92,-46.05
husavik,273.15,93.0,10.8,90.0,66.04,-17.34
roald,279.67,81.0,9.8,100.0,62.58,6.13
skjervoy,272.95,88.0,5.04,100.0,70.03,20.97
berlevag,267.15,79.0,6.7,100.0,70.86,29.09
dikson,263.7,96.0,4.45,100.0,73.51,80.55
saskylakh,258.12,91.0,3.36,0.0,71.92,114.08
longyearbyen,251.15,69.0,2.6,20.0,78.22,15.64
mehamn,267.15,79.0,6.7,100.0,71.04,27.85
